Entity,Code,Year,Renewables (TWh growth - equivalent)
Africa,,1966,4.7441025
Africa,,1967,2.0126228
Africa,,1968,8.124931
Africa,,1969,9.351627
Africa,,1970,16.350777
Africa,,1971,-4.2580414
Africa,,1972,10.706917
Africa,,1973,5.0798416
Africa,,1974,12.794197
Africa,,1975,6.054901
Africa,,1976,12.105011
Africa,,1977,12.228485
Africa,,1978,1.1374207
Africa,,1979,9.653885
Africa,,1980,-3.6872864
Africa,,1981,5.59758
Africa,,1982,0.09687805
Africa,,1983,-14.68309
Africa,,1984,-2.2262268
Africa,,1985,14.777542
Africa,,1986,6.1285553
Africa,,1987,-6.17688
Africa,,1988,13.326462
Africa,,1989,7.9041443
Africa,,1990,3.4947205
Africa,,1991,10.105743
Africa,,1992,-8.141861
Africa,,1993,-3.1721802
Africa,,1994,2.3875122
Africa,,1995,6.962204
Africa,,1996,8.298584
Africa,,1997,4.962265
Africa,,1998,9.316544
Africa,,1999,11.909485
Africa,,2000,15.930786
Africa,,2001,15.961166
Africa,,2002,11.0598755
Africa,,2003,-7.4565735
Africa,,2004,13.679047
Africa,,2005,2.5901184
Africa,,2006,10.182739
Africa,,2007,6.4622803
Africa,,2008,4.360077
Africa,,2009,6.9099426
Africa,,2010,23.452911
Africa,,2011,8.790985
Africa,,2012,1.3637695
Africa,,2013,18.681427
Africa,,2014,25.54184
Africa,,2015,6.6893005
Africa,,2016,-0.6163635
Africa,,2017,32.571014
Africa,,2018,28.830475
Africa,,2019,29.933289
Africa,,2020,32.6933
Africa,,2021,26.697357
Africa,,2022,14.639893
Africa (EI),,1966,4.7440987
Africa (EI),,1967,2.0126266
Africa (EI),,1968,8.1249275
Africa (EI),,1969,9.351624
Africa (EI),,1970,16.350792
Africa (EI),,1971,-4.2580414
Africa (EI),,1972,10.706917
Africa (EI),,1973,5.079834
Africa (EI),,1974,12.794205
Africa (EI),,1975,6.0548935
Africa (EI),,1976,12.105019
Africa (EI),,1977,12.228493
Africa (EI),,1978,1.1374054
Africa (EI),,1979,9.653885
Africa (EI),,1980,-3.6872864
Africa (EI),,1981,5.59758
Africa (EI),,1982,0.09687805
Africa (EI),,1983,-14.68309
Africa (EI),,1984,-2.2262268
Africa (EI),,1985,14.777542
Africa (EI),,1986,6.1285553
Africa (EI),,1987,-6.17688
Africa (EI),,1988,13.326462
Africa (EI),,1989,7.9041595
Africa (EI),,1990,3.4947205
Africa (EI),,1991,10.105728
Africa (EI),,1992,-8.141861
Africa (EI),,1993,-3.1721802
Africa (EI),,1994,2.3875122
Africa (EI),,1995,6.962204
Africa (EI),,1996,8.298584
Africa (EI),,1997,4.9622955
Africa (EI),,1998,9.316528
Africa (EI),,1999,11.909454
Africa (EI),,2000,15.930801
Africa (EI),,2001,15.961151
Africa (EI),,2002,11.059891
Africa (EI),,2003,-7.456558
Africa (EI),,2004,13.679031
Africa (EI),,2005,2.590149
Africa (EI),,2006,10.182709
Africa (EI),,2007,6.4622803
Africa (EI),,2008,4.3601074
Africa (EI),,2009,6.909912
Africa (EI),,2010,23.452911
Africa (EI),,2011,8.790985
Africa (EI),,2012,1.3637695
Africa (EI),,2013,18.681427
Africa (EI),,2014,25.54184
Africa (EI),,2015,6.6893005
Africa (EI),,2016,-0.6163635
Africa (EI),,2017,32.571045
Africa (EI),,2018,28.830414
Africa (EI),,2019,29.933258
Africa (EI),,2020,32.69336
Africa (EI),,2021,26.697296
Africa (EI),,2022,14.639954
Algeria,DZA,1966,-0.13306463
Algeria,DZA,1967,0.16263437
Algeria,DZA,1968,0.45241952
Algeria,DZA,1969,-0.597312
Algeria,DZA,1970,0.64758086
Algeria,DZA,1971,-0.73924756
Algeria,DZA,1972,0.48790336
Algeria,DZA,1973,0.759946
Algeria,DZA,1974,-0.75403214
Algeria,DZA,1975,-0.49973106
Algeria,DZA,1976,0.18037629
Algeria,DZA,1977,-0.3548388
Algeria,DZA,1978,-0.056182742
Algeria,DZA,1979,0.12123662
Algeria,DZA,1980,-0.10053784
Algeria,DZA,1981,0.32231206
Algeria,DZA,1982,0.3341397
Algeria,DZA,1983,-0.72150534
Algeria,DZA,1984,0.6416666
Algeria,DZA,1985,0.57365596
Algeria,DZA,1986,-1.1709678
Algeria,DZA,1987,0.7362905
Algeria,DZA,1988,-0.9344086
Algeria,DZA,1989,0.12715024
Algeria,DZA,1990,-0.26908582
Algeria,DZA,1991,0.46720415
Algeria,DZA,1992,-0.2779569
Algeria,DZA,1993,0.45537633
Algeria,DZA,1994,-0.5529569
Algeria,DZA,1995,0.079838574
Algeria,DZA,1996,-0.17150527
Algeria,DZA,1997,-0.17741942
Algeria,DZA,1998,0.41397864
Algeria,DZA,1999,-0.035483897
Algeria,DZA,2000,-0.4405914
Algeria,DZA,2001,0.043029994
Algeria,DZA,2002,-0.03633389
Algeria,DZA,2003,0.60215914
Algeria,DZA,2004,-0.045238018
Algeria,DZA,2005,0.8667588
Algeria,DZA,2006,-0.97089356
Algeria,DZA,2007,0.019882262
Algeria,DZA,2008,0.1562041
Algeria,DZA,2009,0.15986115
Algeria,DZA,2010,-0.4496745
Algeria,DZA,2011,0.5873217
Algeria,DZA,2012,0.047130823
Algeria,DZA,2013,-0.79212224
Algeria,DZA,2014,0.34034747
Algeria,DZA,2015,-0.09027076
Algeria,DZA,2016,0.3017838
Algeria,DZA,2017,0.64126307
Algeria,DZA,2018,0.39049387
Algeria,DZA,2019,0.11676979
Algeria,DZA,2020,-0.09865618
Algeria,DZA,2021,-0.16021097
Algeria,DZA,2022,0.21573365
Argentina,ARG,1966,0.04676175
Argentina,ARG,1967,0.088021755
Argentina,ARG,1968,0.67116785
Argentina,ARG,1969,-0.45661402
Argentina,ARG,1970,0.81195116
Argentina,ARG,1971,-0.023689747
Argentina,ARG,1972,-0.0742507
Argentina,ARG,1973,4.3688
Argentina,ARG,1974,5.909095
Argentina,ARG,1975,0.601264
Argentina,ARG,1976,-0.5415468
Argentina,ARG,1977,2.2330027
Argentina,ARG,1978,5.8542614
Argentina,ARG,1979,8.704704
Argentina,ARG,1980,13.271921
Argentina,ARG,1981,-1.3869476
Argentina,ARG,1982,8.686394
Argentina,ARG,1983,2.5710983
Argentina,ARG,1984,4.187649
Argentina,ARG,1985,2.3084526
Argentina,ARG,1986,1.127861
Argentina,ARG,1987,2.5513954
Argentina,ARG,1988,-19.619766
Argentina,ARG,1989,-6.1802864
Argentina,ARG,1990,13.468945
Argentina,ARG,1991,-5.4588814
Argentina,ARG,1992,9.742485
Argentina,ARG,1993,13.503155
Argentina,ARG,1994,10.413391
Argentina,ARG,1995,-2.2514267
Argentina,ARG,1996,-11.562119
Argentina,ARG,1997,15.997818
Argentina,ARG,1998,-4.142227
Argentina,ARG,1999,-14.835136
Argentina,ARG,2000,21.622482
Argentina,ARG,2001,22.936867
Argentina,ARG,2002,-2.430008
Argentina,ARG,2003,-5.2755203
Argentina,ARG,2004,-10.302895
Argentina,ARG,2005,10.345909
Argentina,ARG,2006,10.600922
Argentina,ARG,2007,-19.835526
Argentina,ARG,2008,-0.23061371
Argentina,ARG,2009,8.93605
Argentina,ARG,2010,2.4068756
Argentina,ARG,2011,-3.7632751
Argentina,ARG,2012,-3.181488
Argentina,ARG,2013,11.329826
Argentina,ARG,2014,0.7972183
Argentina,ARG,2015,0.43408203
Argentina,ARG,2016,-7.652954
Argentina,ARG,2017,7.8994904
Argentina,ARG,2018,2.6958008
Argentina,ARG,2019,-1.0835876
Argentina,ARG,2020,-3.3824844
Argentina,ARG,2021,1.5665817
Argentina,ARG,2022,19.63173
Asia,,1966,18.22522
Asia,,1967,-28.800537
Asia,,1968,45.942963
Asia,,1969,17.451721
Asia,,1970,11.878418
Asia,,1971,45.621277
Asia,,1972,18.26587
Asia,,1973,-38.617004
Asia,,1974,71.242065
Asia,,1975,45.258057
Asia,,1976,17.710266
Asia,,1977,-10.744812
Asia,,1978,34.331665
Asia,,1979,56.823364
Asia,,1980,55.541565
Asia,,1981,56.81952
Asia,,1982,19.669128
Asia,,1983,44.166565
Asia,,1984,6.7452393
Asia,,1985,161.73975
Asia,,1986,10.625
Asia,,1987,37.94934
Asia,,1988,162.77307
Asia,,1989,33.37854
Asia,,1990,53.757812
Asia,,1991,15.89209
Asia,,1992,10.7717285
Asia,,1993,148.77197
Asia,,1994,0.044677734
Asia,,1995,133.54248
Asia,,1996,-9.890747
Asia,,1997,5.6486816
Asia,,1998,101.43567
Asia,,1999,-31.66504
Asia,,2000,61.106567
Asia,,2001,126.689575
Asia,,2002,68.69214
Asia,,2003,72.457886
Asia,,2004,346.0852
Asia,,2005,94.71948
Asia,,2006,251.16382
Asia,,2007,148.65088
Asia,,2008,401.73218
Asia,,2009,-16.172363
Asia,,2010,529.7119
Asia,,2011,145.61743
Asia,,2012,555.48706
Asia,,2013,481.0288
Asia,,2014,555.23584
Asia,,2015,371.88623
Asia,,2016,491.44434
Asia,,2017,586.7793
Asia,,2018,669.2134
Asia,,2019,765.7959
Asia,,2020,579.7461
Asia,,2021,908.23047
Asia,,2022,938.60645
Asia Pacific (EI),,1966,18.39206
Asia Pacific (EI),,1967,-28.548248
Asia Pacific (EI),,1968,45.916748
Asia Pacific (EI),,1969,17.577332
Asia Pacific (EI),,1970,19.828613
Asia Pacific (EI),,1971,55.372925
Asia Pacific (EI),,1972,16.827393
Asia Pacific (EI),,1973,-32.674866
Asia Pacific (EI),,1974,73.69647
Asia Pacific (EI),,1975,43.475952
Asia Pacific (EI),,1976,2.2041626
Asia Pacific (EI),,1977,-18.297058
Asia Pacific (EI),,1978,30.422485
