Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,Continent,Renewable-electricity-generating-capacity-per-capita_normalized,Primary energy consumption per capita (kWh/person)_normalized
Afghanistan,2020,97.7,33.2,9.35,,,0.12,0.0,0.68,85.0,702.888,,,,-2.351100673,516.7478708,60,652230.0,33.93911,67.709953,Asia,0.30697145727182007,0.381849615720934
Albania,2020,100.0,81.3,,,,0.0,0.0,5.31,100.0,11158.003,,,,-3.955397927,5246.292306,105,28748.0,41.153332,20.168331,Europe,,6.061675768775436
Algeria,2020,99.80413,99.7,15.64,,,72.01,0.0,0.72,0.9899628,14933.807,,,0.29789943,-5.1,3306.858208,18,2381741.0,28.033886,1.659626,Africa,0.5148132727981654,8.112911963500007
Angola,2020,46.89061,50.2,115.43,,,4.49,0.0,12.1,72.9355,3527.16,,,,-5.39998739,1776.166868,26,1246700.0,-11.202692,17.873887,Africa,3.8121955893918065,1.916158321932156
Antigua and Barbuda,2020,100.0,100.0,167.98,,,0.31,0.0,0.02,6.060606,27785.227,,,,-20.19237057,13992.74448,223,443.0,17.060816,-61.796428,North America,5.548616480633372,15.09455027354133
Argentina,2020,100.0,99.9,311.28,,,91.58,10.06,37.05,33.967842,19314.066,,,12.179417,-9.895268964,8579.017773,17,2780400.0,-38.416097,-63.616672,South America,10.283709034675548,10.492523247101609
Armenia,2020,100.0,98.1,484.04,,,2.98,2.55,1.92,59.999996,17086.047,,,,-7.4,4266.018074,104,29743.0,40.069099,45.038189,Europe,15.992254670658287,9.282133826640683
Aruba,2020,100.0,,356.86,,,0.73,0.0,0.15,17.045456,43496.94,,,,,,590,179.0,12.52111,-69.96833,,11.78981872492846,23.63006599065075
Australia,2020,100.0,100.0,,,,186.92,0.0,63.99,25.503168,61826.21,,,10.789811,-0.003836559,51692.84275,3,7741220.0,-25.274398,133.775136,Oceania,,33.58759081102788
Austria,2020,100.0,100.0,,,,13.77,0.0,55.42,80.098274,45028.27,,,38.26067,-6.734514076,48586.80132,109,83871.0,47.516231,14.550072,Europe,,24.46197345249664
Azerbaijan,2020,100.0,96.8,127.35,,,23.16,0.0,1.22,5.0041018,17803.629,,,1.9758317,-4.3,4221.407478,123,86600.0,40.143105,47.576927,Europe,4.206070699260493,9.67196607722436
